Plate	Genotype	Sex	Target	Sample	Cq
2	Del(SB1-Atf2)	M	Hoxd11	1198	26.8769013339925
2	Del(SB1-Atf2)	M	Hoxd11	1198	26.8148055195189
2	Del(SB1-Atf2)	M	Hoxd10	1198	30.601921851083
2	Del(SB1-Atf2)	M	Hoxd10	1198	30.5773044173867
2	Del(SB1-Atf2)	M	Hoxd10	1198	30.941032676124
2	Del(nsi-Atf2)	M	Tbp	830	30.2402377443321
2	Del(nsi-Atf2)	M	Tbp	830	30.5369362439464
2	Del(nsi-Atf2)	M	Tbp	830	30.4182003380546
2	Del(nsi-Atf2)	M	Hoxd13	830	31.3391942438628
2	Del(nsi-Atf2)	M	Hoxd13	830	31.1201760219834
2	Del(nsi-Atf2)	M	Hoxd13	830	31.3360272837504
2	Del(nsi-Atf2)	M	Hoxd11	830	29.8084144308038
2	Del(nsi-Atf2)	M	Hoxd11	830	30.1429702779107
2	Del(nsi-Atf2)	M	Hoxd11	830	29.7957358093396
2	Del(nsi-Atf2)	M	Hoxd10	830	33.1826459360647
2	Del(nsi-Atf2)	M	Hoxd10	830	33.2795275943591
2	Del(nsi-Atf2)	M	Hoxd10	830	33.1559838266885
2	Del(nsi-Atf2)	M	Tbp	853	28.8265730917463
2	Del(nsi-Atf2)	M	Tbp	853	28.8846266943733
2	Del(nsi-Atf2)	M	Tbp	853	28.9682901509434
2	Del(nsi-Atf2)	M	Hoxd13	853	30.2831971673306
2	Del(nsi-Atf2)	M	Hoxd13	853	29.8210760623106
2	Del(nsi-Atf2)	M	Hoxd13	853	30.0413637387281
2	Del(nsi-Atf2)	M	Hoxd11	853	27.3184128235003
2	Del(nsi-Atf2)	M	Hoxd11	853	27.6199267105131
2	Del(nsi-Atf2)	M	Hoxd11	853	27.4680237717848
2	Del(nsi-Atf2)	M	Hoxd10	853	30.3202860312602
2	Del(nsi-Atf2)	M	Hoxd10	853	30.6456061987536
2	Del(nsi-Atf2)	M	Hoxd10	853	30.7631267354024
2	Del(nsi-Atf2)	M	Tbp	854	30.4083107323057
2	Del(nsi-Atf2)	M	Tbp	854	30.3992587932135
2	Del(nsi-Atf2)	M	Tbp	854	30.4371583786306
2	Del(nsi-Atf2)	M	Hoxd13	854	31.5830850005613
2	Del(nsi-Atf2)	M	Hoxd13	854	31.4375301274292
2	Del(nsi-Atf2)	M	Hoxd13	854	31.6251475467169
2	Del(nsi-Atf2)	M	Hoxd11	854	29.8004277731158
2	Del(nsi-Atf2)	M	Hoxd11	854	29.8982577986386
2	Del(nsi-Atf2)	M	Hoxd11	854	30.3034335367852
2	Del(nsi-Atf2)	M	Hoxd10	854	33.4571686083431
2	Del(nsi-Atf2)	M	Hoxd10	854	33.1777544930097
2	Del(nsi-Atf2)	M	Hoxd10	854	32.9761874536111
3	wt	M	Tbp	1110	26.4105884800906
3	wt	M	Tbp	1110	26.702610776669
3	wt	M	Tbp	1110	27.067377899059
3	wt	M	Hoxd9	1110	27.0479724900762
3	wt	M	Hoxd9	1110	26.9548647012046
3	wt	M	Hoxd9	1110	26.9617037398348
3	wt	M	Hoxd8	1110	30.8379266854384
3	wt	M	Hoxd8	1110	30.8607179100976
3	wt	M	Hoxd8	1110	30.9200790376071
3	wt	M	Hoxa13	1110	29.3200287502857
3	wt	M	Hoxa13	1110	29.1592187516614
3	wt	M	Hoxa13	1110	29.0829794768799
3	wt	M	Tbp	1148	26.1292234857171
3	wt	M	Tbp	1148	26.0499270378768
3	wt	M	Tbp	1148	26.1901331654108
3	wt	M	Hoxd9	1148	26.6730675818364
3	wt	M	Hoxd9	1148	26.6372892456034
3	wt	M	Hoxd9	1148	26.4029968103862
3	wt	M	Hoxd8	1148	29.8207234479779
3	wt	M	Hoxd8	1148	29.9185472134924
3	wt	M	Hoxd8	1148	29.7120481545774
3	wt	M	Hoxa13	1148	28.4100595315894
3	wt	M	Hoxa13	1148	28.3993493620865
3	wt	M	Hoxa13	1148	28.3579943898685
3	wt	M	Tbp	1893	27.5159881580946
3	wt	M	Tbp	1893	27.5175528659089
3	wt	M	Tbp	1893	27.2458082722554
3	wt	M	Hoxd9	1893	28.4215584652622
3	wt	M	Hoxd9	1893	28.3599702401717
3	wt	M	Hoxd9	1893	28.2756559947536
3	wt	M	Hoxd8	1893	31.6460686478608
3	wt	M	Hoxd8	1893	31.4719503460098
3	wt	M	Hoxd8	1893	31.4695046260172
3	wt	M	Hoxa13	1893	29.757936789233
3	wt	M	Hoxa13	1893	29.5886482744818
3	wt	M	Hoxa13	1893	29.6833472290054
3	wt	M	Tbp	1910	27.8301155611232
3	wt	M	Tbp	1910	27.7583973267206
3	wt	M	Tbp	1910	27.5454904296646
3	wt	M	Hoxd9	1910	28.0931733687138
3	wt	M	Hoxd9	1910	27.9749151047558
3	wt	M	Hoxd9	1910	27.9667030910513
3	wt	M	Hoxd8	1910	31.7296270085695
3	wt	M	Hoxd8	1910	32.2273017374429
3	wt	M	Hoxd8	1910	31.7763544788542
3	wt	M	Hoxa13	1910	29.9050402110011
3	wt	M	Hoxa13	1910	29.6590514315486
3	wt	M	Hoxa13	1910	29.8614929656624
3	Del(Rel1-Rel5)	M	Tbp	1189	30.1245795306917
3	Del(Rel1-Rel5)	M	Tbp	1189	29.9170192973872
3	Del(Rel1-Rel5)	M	Tbp	1189	30.139450847421
3	Del(Rel1-Rel5)	M	Hoxd9	1189	28.6419483259939
3	Del(Rel1-Rel5)	M	Hoxd9	1189	29.0087389673721
3	Del(Rel1-Rel5)	M	Hoxd9	1189	28.4484330488025
3	Del(Rel1-Rel5)	M	Hoxd8	1189	33.0635086634088
3	Del(Rel1-Rel5)	M	Hoxd8	1189	33.1930741327725
3	Del(Rel1-Rel5)	M	Hoxd8	1189	33.333999089112
3	Del(Rel1-Rel5)	M	Hoxa13	1189	32.1828044791536
3	Del(Rel1-Rel5)	M	Hoxa13	1189	32.2889788049684
3	Del(Rel1-Rel5)	M	Hoxa13	1189	32.5575058472953
3	Del(Rel1-Rel5)	M	Tbp	1918	27.7680773356174
3	Del(Rel1-Rel5)	M	Tbp	1918	27.7639095948545
3	Del(Rel1-Rel5)	M	Tbp	1918	27.7594874644024
3	Del(Rel1-Rel5)	M	Hoxd9	1918	27.5586736935106
3	Del(Rel1-Rel5)	M	Hoxd9	1918	27.5512218314314
3	Del(Rel1-Rel5)	M	Hoxd9	1918	27.6245918351088
3	Del(Rel1-Rel5)	M	Hoxd8	1918	31.4678404723573
3	Del(Rel1-Rel5)	M	Hoxd8	1918	31.555843076955
3	Del(Rel1-Rel5)	M	Hoxd8	1918	31.7374367683702
3	Del(Rel1-Rel5)	M	Hoxa13	1918	29.8561784824764
3	Del(Rel1-Rel5)	M	Hoxa13	1918	30.0539576918001
3	Del(Rel1-Rel5)	M	Hoxa13	1918	29.9380648715773
3	Del(Rel1-Rel5)	M	Tbp	1920	27.7131361293443
3	Del(Rel1-Rel5)	M	Tbp	1920	27.7289156012055
3	Del(Rel1-Rel5)	M	Tbp	1920	27.7361695499434
3	Del(Rel1-Rel5)	M	Hoxd9	1920	28.0580174342465
3	Del(Rel1-Rel5)	M	Hoxd9	1920	27.9372714607549
3	Del(Rel1-Rel5)	M	Hoxd9	1920	28.1212809503129
3	Del(Rel1-Rel5)	M	Hoxd8	1920	31.5000065548286
3	Del(Rel1-Rel5)	M	Hoxd8	1920	31.6765162257654
3	Del(Rel1-Rel5)	M	Hoxd8	1920	31.5848957781103
3	Del(Rel1-Rel5)	M	Hoxa13	1920	29.8316578575505
3	Del(Rel1-Rel5)	M	Hoxa13	1920	29.8776238129759
3	Del(Rel1-Rel5)	M	Hoxa13	1920	29.9947763432324
3	Del(Rel5-SB1)	M	Tbp	1112	29.851137679563
3	Del(Rel5-SB1)	M	Tbp	1112	29.8036776069139
3	Del(Rel5-SB1)	M	Tbp	1112	30.339325769241
3	Del(Rel5-SB1)	M	Hoxd9	1112	29.4107721232512
3	Del(Rel5-SB1)	M	Hoxd9	1112	29.4757020178163
3	Del(Rel5-SB1)	M	Hoxd9	1112	29.4454168244537
3	Del(Rel5-SB1)	M	Hoxd8	1112	33.8206863411262
3	Del(Rel5-SB1)	M	Hoxd8	1112	34.1882860232037
3	Del(Rel5-SB1)	M	Hoxd8	1112	34.0451299999282
3	Del(Rel5-SB1)	M	Hoxa13	1112	32.7482879902392
3	Del(Rel5-SB1)	M	Hoxa13	1112	32.4612335966712
3	Del(Rel5-SB1)	M	Hoxa13	1112	32.3624985245529
4	Del(Rel5-SB1)	M	Tbp	1115	27.8880516633009
4	Del(Rel5-SB1)	M	Tbp	1115	28.6046379223043
4	Del(Rel5-SB1)	M	Tbp	1115	28.4249490213992
4	Del(Rel5-SB1)	M	Hoxd9	1115	27.6423003777696
4	Del(Rel5-SB1)	M	Hoxd9	1115	27.7160821445863
4	Del(Rel5-SB1)	M	Hoxd9	1115	27.5986997801212
4	Del(Rel5-SB1)	M	Hoxd8	1115	31.9456420834796
4	Del(Rel5-SB1)	M	Hoxd8	1115	31.7213165179536
4	Del(Rel5-SB1)	M	Hoxd8	1115	31.9442522371636
4	Del(Rel5-SB1)	M	Hoxa13	1115	30.0037577921201
4	Del(Rel5-SB1)	M	Hoxa13	1115	29.8556637362512
4	Del(Rel5-SB1)	M	Hoxa13	1115	29.5165568683751
4	Del(Rel5-SB1)	M	Tbp	1876	29.4429885743865
4	Del(Rel5-SB1)	M	Tbp	1876	29.5697366226023
4	Del(Rel5-SB1)	M	Tbp	1876	29.5548609076424
4	Del(Rel5-SB1)	M	Hoxd9	1876	29.4350613280291
4	Del(Rel5-SB1)	M	Hoxd9	1876	29.5151257863611
4	Del(Rel5-SB1)	M	Hoxd9	1876	29.221972108097
4	Del(Rel5-SB1)	M	Hoxd8	1876	33.0153403906404
4	Del(Rel5-SB1)	M	Hoxd8	1876	32.9318269834076
4	Del(Rel5-SB1)	M	Hoxd8	1876	32.5711279984014
4	Del(Rel5-SB1)	M	Hoxa13	1876	31.6871685340567
4	Del(Rel5-SB1)	M	Hoxa13	1876	31.5404135372481
4	Del(Rel5-SB1)	M	Hoxa13	1876	31.6533985033735
4	Del(SB1-Atf2)	M	Tbp	1149	27.7598154659879
4	Del(SB1-Atf2)	M	Tbp	1149	28.1588517118291
4	Del(SB1-Atf2)	M	Tbp	1149	27.8854085606068
4	Del(SB1-Atf2)	M	Hoxd9	1149	28.1475506262218
4	Del(SB1-Atf2)	M	Hoxd9	1149	28.0118855913201
4	Del(SB1-Atf2)	M	Hoxd9	1149	27.8384805384134
4	Del(SB1-Atf2)	M	Hoxd8	1149	31.7014839090801
4	Del(SB1-Atf2)	M	Hoxd8	1149	31.3961155437824
4	Del(SB1-Atf2)	M	Hoxd8	1149	31.4349414591731
4	Del(SB1-Atf2)	M	Hoxa13	1149	29.9275856373349
4	Del(SB1-Atf2)	M	Hoxa13	1149	29.9909675687672
4	Del(SB1-Atf2)	M	Hoxa13	1149	29.8964543461526
4	Del(SB1-Atf2)	M	Tbp	1150	27.8050622596823
4	Del(SB1-Atf2)	M	Tbp	1150	28.1302929774858
4	Del(SB1-Atf2)	M	Tbp	1150	27.8777124029032
4	Del(SB1-Atf2)	M	Hoxd9	1150	28.0594342820824
4	Del(SB1-Atf2)	M	Hoxd9	1150	27.8981949315034
4	Del(SB1-Atf2)	M	Hoxd9	1150	27.8635921268317
4	Del(SB1-Atf2)	M	Hoxd8	1150	31.9194764108809
4	Del(SB1-Atf2)	M	Hoxd8	1150	31.5807860724973
4	Del(SB1-Atf2)	M	Hoxd8	1150	31.461966655084
4	Del(SB1-Atf2)	M	Hoxa13	1150	30.2046159034693
4	Del(SB1-Atf2)	M	Hoxa13	1150	30.0454507673043
4	Del(SB1-Atf2)	M	Hoxa13	1150	30.0556264613899
4	Del(SB1-Atf2)	M	Tbp	1198	29.3046406576415
4	Del(SB1-Atf2)	M	Tbp	1198	28.7511687446028
4	Del(SB1-Atf2)	M	Tbp	1198	28.6650803270329
4	Del(SB1-Atf2)	M	Hoxd9	1198	28.9525383573284
4	Del(SB1-Atf2)	M	Hoxd9	1198	28.8576209199636
4	Del(SB1-Atf2)	M	Hoxd9	1198	28.7357403294272
4	Del(SB1-Atf2)	M	Hoxd8	1198	31.8227197157787
4	Del(SB1-Atf2)	M	Hoxd8	1198	32.1046916880207
4	Del(SB1-Atf2)	M	Hoxd8	1198	31.8363031362692
4	Del(SB1-Atf2)	M	Hoxa13	1198	29.8158704973722
4	Del(SB1-Atf2)	M	Hoxa13	1198	29.6572037969572
4	Del(SB1-Atf2)	M	Hoxa13	1198	30.0224425942434
4	Del(nsi-Atf2)	M	Tbp	830	29.793266917945
4	Del(nsi-Atf2)	M	Tbp	830	29.7255575839343
4	Del(nsi-Atf2)	M	Tbp	830	29.9228794114228
4	Del(nsi-Atf2)	M	Hoxd9	830	31.1593346251801
4	Del(nsi-Atf2)	M	Hoxd9	830	31.0970726454237
4	Del(nsi-Atf2)	M	Hoxd9	830	31.0761848189556
4	Del(nsi-Atf2)	M	Hoxd8	830	33.2196392295135
4	Del(nsi-Atf2)	M	Hoxd8	830	33.3429484704513
4	Del(nsi-Atf2)	M	Hoxd8	830	33.2557398218301
4	Del(nsi-Atf2)	M	Hoxa13	830	31.4046857118723
4	Del(nsi-Atf2)	M	Hoxa13	830	31.4339671547552
4	Del(nsi-Atf2)	M	Hoxa13	830	31.4606569283236
4	Del(nsi-Atf2)	M	Tbp	853	28.4265471390991
4	Del(nsi-Atf2)	M	Tbp	853	28.1600998800025
4	Del(nsi-Atf2)	M	Hoxd9	853	28.3511926587366
4	Del(nsi-Atf2)	M	Hoxd9	853	28.1823077190285
4	Del(nsi-Atf2)	M	Hoxd9	853	28.3820626741057
4	Del(nsi-Atf2)	M	Hoxd8	853	31.6985967026353
4	Del(nsi-Atf2)	M	Hoxd8	853	31.8853579471055
4	Del(nsi-Atf2)	M	Hoxd8	853	31.2741180401786
4	Del(nsi-Atf2)	M	Hoxa13	853	30.3832315333887
4	Del(nsi-Atf2)	M	Hoxa13	853	30.3876446373115
4	Del(nsi-Atf2)	M	Hoxa13	853	30.172069911429
4	Del(nsi-Atf2)	M	Tbp	854	30.2920992643809
4	Del(nsi-Atf2)	M	Tbp	854	30.0537610289241
4	Del(nsi-Atf2)	M	Tbp	854	30.1530595223201
4	Del(nsi-Atf2)	M	Hoxd9	854	31.0943684142598
4	Del(nsi-Atf2)	M	Hoxd9	854	30.6208437494983
4	Del(nsi-Atf2)	M	Hoxd9	854	30.3528538756461
4	Del(nsi-Atf2)	M	Hoxd8	854	33.6575250503918
4	Del(nsi-Atf2)	M	Hoxd8	854	33.3973458310235
4	Del(nsi-Atf2)	M	Hoxd8	854	33.8745270994734
4	Del(nsi-Atf2)	M	Hoxa13	854	31.6324940644903
4	Del(nsi-Atf2)	M	Hoxa13	854	31.7503773792339
4	Del(nsi-Atf2)	M	Hoxa13	854	31.4504268105655
